kode,navn,definition,kommentar,virkningFra,virkningTil
"Indenrigsministeriet","Indenrigsministeriet","Ændringer foretaget på vegne af Indenrigsministeriet ved ændret bekendtgørelse","","2026-07-01",""
"Geodatastyrelsen","Geodatastyrelsen","Værdien sættes ved matrikulære ændringer i Sogneinddelinger","","2026-07-01",""
"DAGI-myndigheden","DAGI-myndigheden","Ændringer foretaget på vegne af DAGI-myndigheden","","2026-07-01",""
"Kommunen","Kommunen","Ænringer foretaget af den enkelte kommune eller på vegne af kommunen","","2026-07-01",""
"Kirkeministeriet","Kirkeministeriet","Ændringer foretaget på vegne af Kirkeministeriet ved ændringer i Sogneinddelinger","","2026-07-01",""
"Trafikstyrelsen","Trafikstyrelsen","Ændringer foretaget på vegne af Trafikstyrelsen ved ændringer i Postnummer","","2026-07-01",""
