kode,navn,definition,kommentar,virkningFra,virkningTil
"DAGI-myndigheden","DAGI-myndigheden","Ændringer foretaget af Klimadatastyrelsen","","2026-07-01",""
"Kommunen","Kommunen","Ændringer foretaget af den enkelte kommune","","2026-07-01",""
